Exposure,LicAge,VehAge,Gender,MariStat,SocioCateg,VehUsage,DrivAge,HasKmLimit,BonusMalus,VehBody,VehPrice,VehEngine,VehEnergy,VehMaxSpeed,VehClass,RiskVar,Garage
0.129,154,3,Male,Other,CSP50,Private+trip to office,31,0,68,station wagon,I,direct injection overpowered,diesel,3,M1,18,None
0.782,309,2,Male,Alone,CSP48,Professional,44,0,112,sedan,L,direct injection overpowered,diesel,8,M1,16,Collective garage
0.161,443,6,Male,Other,CSP60,Private,65,0,50,sedan,E,injection,regular,3,B,10,Collective garage
0.536,260,2,Female,Other,CSP50,Private+trip to office,44,0,50,sedan,E,injection,regular,4,B,14,None
0.5,83,6,Male,Alone,CSP50,Private+trip to office,25,0,76,sedan,D,injection,regular,3,A,16,None
0.833,314,0,Female,Alone,CSP50,Private+trip to office,49,0,50,sedan,E,injection,regular,4,A,15,None
0.583,216,6,Male,Alone,CSP50,Private+trip to office,36,0,50,sedan,G,injection,regular,6,M1,16,None
0.5,629,8,Male,Other,CSP60,Private,70,0,50,sedan,V,injection,regular,8,H,16,Private garage
0.833,95,4,Female,Other,CSP50,Private+trip to office,28,0,76,sedan,E,injection,regular,2,B,17,None
0.143,210,3,Male,Alone,CSP50,Professional,35,0,54,station wagon,L,direct injection overpowered,diesel,7,M2,15,Private garage
0.086,158,4,Male,Other,CSP50,Private,42,0,54,sedan,F,injection,regular,4,B,16,Private garage
0.916,473,0,Male,Other,CSP50,Private+trip to office,60,0,50,sedan,I,direct injection overpowered,diesel,6,B,20,None
0.833,539,5,Male,Other,CSP60,Private,63,0,50,sedan,F,injection,regular,3,B,9,None
0.916,450,0,Female,Other,CSP42,Professional,56,0,79,microvan,L,direct injection overpowered,diesel,6,M1,8,Collective garage
0.478,306,4,Male,Other,CSP50,Professional,54,0,50,van,M,injection,diesel,10,0,5,None
0.249,166,2,Female,Other,CSP50,Private+trip to office,32,0,90,sedan,I,injection,regular,6,M1,15,Private garage
0.5,530,5,Female,Other,CSP60,Private,66,1,50,sedan,J,direct injection overpowered,diesel,6,M2,17,None
0.804,165,2,Female,Alone,CSP50,Private,36,0,90,sedan,G,injection,regular,4,B,18,None
0.122,329,6,Female,Other,CSP50,Professional,47,0,81,sport utility vehicle,L,injection,regular,4,M2,16,None
0.881,123,2,Male,Other,CSP50,Private+trip to office,28,0,90,station wagon,J,direct injection overpowered,diesel,5,M1,12,None
0.553,332,0,Male,Other,CSP1,Professional,46,0,50,sport utility vehicle,U,injection overpowered,regular,8,H,16,Private garage
0.583,177,6,Male,Alone,CSP50,Private+trip to office,33,0,50,sedan,E,injection,regular,3,B,13,None
0.788,418,0,Male,Other,CSP50,Private+trip to office,55,0,50,sedan,K,injection,regular,8,B,14,None
0.916,193,11,Male,Other,CSP50,Professional,37,0,54,van,C,carburation,regular,1,0,11,None
0.5,376,4,Male,Other,CSP50,Private+trip to office,50,0,50,sedan,P,direct injection overpowered,diesel,8,H,19,Collective garage
0.499,383,0,Male,Other,OTHER,Private+trip to office,50,0,50,microvan,M,direct injection overpowered,diesel,6,M1,16,Collective garage
0.083,450,4,Female,Other,CSP50,Private+trip to office,57,0,50,sedan,G,injection,regular,4,B,15,None
0.726,394,5,Female,Other,CSP50,Private+trip to office,51,0,50,sport utility vehicle,L,injection,regular,4,M2,16,None
1.0,351,5,Male,Other,CSP60,Private,74,0,50,sedan,P,injection,regular,9,H,1,Collective garage
0.583,264,3,Female,Other,CSP50,Private,50,0,68,sport utility vehicle,S,injection,regular,5,H,9,Collective garage
0.749,172,2,Female,Other,CSP50,Professional,47,0,50,coupe,N,injection overpowered,regular,9,M2,17,None
0.707,47,6,Female,Other,CSP50,Private+trip to office,27,0,95,sedan,C,injection,regular,2,B,15,None
0.49,356,4,Female,Other,CSP48,Professional,48,0,50,van,I,injection,regular,2,0,17,None
0.499,820,11,Male,Other,CSP60,Private,86,1,76,sedan,F,injection,regular,4,B,16,None
0.844,373,6,Male,Other,CSP55,Private+trip to office,49,0,50,cabriolet,K,injection,regular,5,M1,16,None
0.333,190,0,Male,Alone,CSP1,Professional,34,0,64,sedan,I,direct injection overpowered,diesel,5,B,15,None
1.0,473,2,Male,Other,OTHER,Professional run,57,0,50,sport utility vehicle,R,direct injection overpowered,diesel,6,H,18,Private garage
0.206,573,5,Male,Other,CSP60,Private,68,0,50,sedan,O,injection,regular,7,H,15,None
0.442,119,0,Male,Alone,CSP50,Private+trip to office,33,0,85,sedan,L,direct injection overpowered,diesel,7,M1,15,Collective garage
0.666,231,0,Male,Other,CSP49,Professional,38,0,50,van,M,direct injection overpowered,diesel,3,0,8,None
0.833,527,1,Female,Other,CSP42,Professional,66,0,50,van,F,direct injection overpowered,diesel,4,B,6,None
1.0,201,2,Male,Alone,CSP50,Professional,34,0,50,sport utility vehicle,R,direct injection overpowered,diesel,7,H,16,Collective garage
0.833,100,2,Male,Alone,CSP50,Professional run,28,0,100,van,E,injection,diesel,3,B,15,None
0.749,259,4,Female,Other,CSP50,Private+trip to office,51,0,72,sedan,G,injection,regular,4,B,12,None
0.916,644,2,Male,Other,CSP60,Private,76,0,50,sport utility vehicle,K,injection,regular,3,M2,11,None
0.188,758,4,Male,Other,CSP60,Private,82,0,50,sedan,N,injection,regular,8,H,16,None
0.047,429,8,Male,Other,CSP55,Private+trip to office,57,0,67,sedan,J,injection,regular,5,M1,13,Collective garage
0.717,216,8,Male,Other,CSP50,Private+trip to office,36,0,50,sedan,G,injection overpowered,diesel,4,B,17,None
0.833,443,1,Male,Other,CSP50,Private,55,0,50,sedan,M,injection,regular,8,H,16,None
0.755,315,2,Male,Other,CSP50,Private+trip to office,60,0,50,station wagon,O,direct injection overpowered,diesel,5,M2,16,None
0.833,277,6,Female,Alone,CSP46,Professional,46,0,64,sedan,E,injection,regular,3,B,2,None
0.416,467,0,Female,Other,CSP37,Private,57,0,50,sedan,H,injection,regular,3,B,7,None
0.666,139,2,Male,Alone,CSP66,Private+trip to office,37,0,85,cabriolet,OTHER,injection,regular,9,H,8,Collective garage
0.833,82,3,Female,Alone,CSP26,Private+trip to office,25,0,100,sedan,H,direct injection overpowered,diesel,4,B,5,None
0.989,251,4,Male,Alone,CSP50,Professional,39,0,51,sport utility vehicle,R,injection,regular,5,H,8,Collective garage
1.0,441,1,Male,Other,CSP60,Private,74,0,90,sedan,F,injection,regular,4,A,20,None
0.36,194,0,Female,Alone,CSP50,Private+trip to office,34,0,50,sedan,I,direct injection overpowered,diesel,4,B,20,None
0.333,242,1,Female,Other,CSP1,Private,44,0,95,sport utility vehicle,M,injection,regular,5,M2,9,Private garage
0.916,42,2,Female,Alone,CSP50,Private+trip to office,24,0,148,sedan,I,injection,regular,6,B,15,None
0.833,175,3,Male,Alone,CSP50,Professional,32,0,60,coupe,Q,injection overpowered,regular,9,H,8,Collective garage
0.692,169,0,Male,Other,CSP50,Private+trip to office,36,0,60,microvan,L,direct injection overpowered,diesel,6,M1,19,Collective garage
0.849,766,4,Male,Other,CSP60,Private,82,0,50,sedan,J,injection,regular,7,M2,17,None
0.35,361,6,Male,Alone,CSP50,Private,49,0,106,sedan,K,injection,regular,7,M2,16,Collective garage
0.666,385,2,Female,Other,CSP50,Private+trip to office,50,0,95,sedan,F,injection,regular,4,B,18,None
0.143,354,2,Male,Other,CSP66,Professional,48,0,70,sedan,U,injection,regular,9,H,17,Collective garage
1.0,429,0,Female,Other,CSP50,Private+trip to office,55,0,50,sedan,H,injection,regular,5,B,5,None
1.0,336,4,Male,Other,CSP46,Professional,46,0,50,van,E,injection,diesel,3,B,20,None
0.75,633,1,Male,Other,CSP60,Private,77,0,50,bus,K,injection,regular,7,M1,14,Private garage
0.25,342,5,Male,Other,CSP50,Private+trip to office,47,0,50,sedan,J,injection,regular,7,M2,20,None
0.413,238,5,Male,Alone,CSP50,Private,39,1,55,sedan,O,direct injection overpowered,diesel,8,M2,13,None
0.833,328,2,Male,Other,CSP50,Private,46,0,54,other microvan,M,direct injection overpowered,diesel,5,M2,15,None
0.583,487,0,Female,Other,CSP46,Professional,60,0,50,sedan,K,injection,regular,7,M1,16,Collective garage
0.833,190,3,Male,Other,CSP50,Private,35,0,68,sedan,F,injection,regular,6,B,8,None
0.25,126,8,Female,Alone,CSP50,Private+trip to office,33,0,80,sport utility vehicle,O,injection,regular,5,H,16,None
0.455,596,11,Male,Other,CSP60,Private,69,1,50,station wagon,J,injection,regular,7,M2,18,Private garage
0.333,279,1,Male,Other,CSP50,Private+trip to office,50,0,95,sedan,F,injection,regular,4,A,20,None
0.636,151,5,Female,Alone,CSP50,Private+trip to office,30,0,64,sedan,G,injection,regular,6,B,15,None
0.524,173,2,Male,Alone,CSP50,Private+trip to office,32,0,76,sedan,L,injection,regular,5,B,9,None
0.394,193,8,Male,Other,CSP55,Private+trip to office,34,0,58,sedan,H,injection,diesel,4,M1,15,Collective garage
0.749,445,5,Male,Other,CSP60,Private,76,0,60,sedan,G,injection,regular,6,B,17,None
0.36,137,1,Male,Other,CSP50,Private,29,0,72,sedan,J,injection,regular,6,M1,17,None
0.583,289,3,Male,Other,CSP42,Private+trip to office,46,0,59,van,F,injection,diesel,4,B,18,None
0.666,428,1,Male,Other,CSP55,Private,55,0,118,other microvan,L,direct injection overpowered,diesel,5,M1,16,None
0.916,244,1,Male,Other,CSP50,Private+trip to office,38,0,100,sedan,G,injection,regular,7,B,2,None
0.51,316,3,Male,Other,CSP55,Private+trip to office,44,0,50,sedan,G,injection,regular,3,B,8,Private garage
0.39,219,1,Male,Other,CSP50,Private,36,0,50,cabriolet,Q,direct injection overpowered,diesel,9,M2,16,Private garage
0.833,312,3,Male,Other,CSP50,Private+trip to office,50,0,52,microvan,J,injection,diesel,3,M1,18,Collective garage
0.833,282,2,Male,Other,CSP46,Professional,41,0,51,van,K,direct injection overpowered,diesel,3,0,19,None
0.692,86,5,Female,Other,CSP50,Professional,26,0,95,sedan,H,injection,regular,5,M1,1,None
0.497,93,0,Male,Other,CSP50,Professional,26,0,65,coupe,F,injection overpowered,regular,1,A,1,None
0.917,87,6,Female,Alone,CSP55,Private,25,1,80,sedan,D,injection,regular,3,A,15,None
0.117,55,5,Male,Other,CSP50,Private,23,0,85,coupe,O,injection,regular,9,M2,15,Private garage
0.564,442,1,Male,Alone,CSP55,Private+trip to office,56,0,118,sedan,H,injection,regular,3,B,17,None
0.991,558,2,Male,Other,CSP60,Private,64,0,50,sedan,K,injection,diesel,5,M2,15,Collective garage
0.467,305,2,Male,Other,CSP48,Professional,51,0,76,van,N,direct injection overpowered,diesel,3,0,17,None
0.75,150,0,Male,Other,CSP42,Professional,31,0,51,sport utility vehicle,M,injection,regular,5,M2,8,None
0.333,157,4,Female,Other,CSP50,Private,33,0,55,other microvan,N,injection,regular,6,H,17,Collective garage
0.853,578,1,Male,Other,OTHER,Professional,69,0,50,sedan,U,injection,regular,9,H,8,Private garage
0.15,302,4,Male,Other,CSP50,Professional,43,0,50,microvan,M,injection,regular,5,H,2,Private garage
0.249,63,2,Female,Alone,CSP50,Private,26,0,90,cabriolet,J,injection,regular,7,B,16,None
0.416,102,1,Female,Alone,CSP26,Private+trip to office,28,0,95,sedan,F,injection,regular,4,A,16,Collective garage
0.737,296,4,Male,Other,CSP55,Private+trip to office,45,0,50,other microvan,K,injection,regular,5,M2,11,Collective garage
0.666,455,1,Male,Other,CSP50,Private+trip to office,56,0,50,sedan,K,injection,regular,8,M2,5,None
0.753,126,4,Female,Alone,CSP50,Private+trip to office,29,0,100,sedan,H,direct injection overpowered,diesel,5,B,20,None
0.75,211,4,Female,Other,CSP50,Private+trip to office,39,0,67,sedan,H,injection,regular,5,M1,17,None
0.662,119,6,Male,Alone,CSP42,Professional,28,0,64,sedan,D,injection,regular,3,B,18,None
0.5,690,6,Male,Other,CSP60,Private,84,0,50,sedan,F,injection,regular,2,A,3,None
0.896,656,1,Male,Other,CSP60,Private,72,1,50,sedan,G,injection,regular,4,B,16,None
0.499,364,0,Male,Other,CSP50,Professional,59,0,76,sedan,E,injection,regular,4,A,1,Collective garage
0.471,132,5,Male,Alone,CSP50,Private+trip to office,33,0,60,sedan,F,injection,regular,3,A,18,None
0.916,188,2,Female,Other,CSP55,Private+trip to office,35,0,80,sedan,I,injection,regular,6,M1,19,None
0.583,484,2,Male,Other,CSP60,Private,67,0,73,sedan,J,injection,regular,6,M1,18,None
0.203,288,1,Male,Other,CSP50,Private,52,0,50,sedan,F,injection,regular,5,B,19,None
0.833,198,2,Female,Other,CSP50,Private,37,1,73,sedan,E,injection,regular,3,B,17,None
0.833,379,0,Female,Other,CSP55,Private+trip to office,52,1,50,sedan,E,injection,regular,3,A,13,None
0.375,344,2,Male,Other,CSP50,Professional,48,0,100,sedan,P,injection,regular,9,M2,1,None
0.416,86,0,Male,Alone,CSP55,Private,31,0,100,sedan,G,injection,regular,4,A,15,None
0.583,104,0,Female,Alone,CSP50,Private+trip to office,36,0,95,sedan,F,injection,regular,4,B,11,Collective garage
0.964,64,5,Male,Alone,CSP50,Private+trip to office,23,0,76,sedan,G,injection,regular,6,M1,16,None
0.499,411,2,Female,Other,CSP50,Private+trip to office,55,0,50,sedan,G,injection,regular,4,A,8,None
0.749,275,2,Female,Other,CSP50,Private+trip to office,50,0,72,sedan,E,injection,regular,5,B,17,None
0.829,419,1,Male,Other,CSP1,Professional,54,0,50,sport utility vehicle,R,direct injection overpowered,diesel,7,H,17,Collective garage
0.461,80,4,Female,Alone,CSP50,Private,35,1,80,cabriolet,K,injection,regular,6,M1,15,Collective garage
0.25,359,2,Male,Other,CSP50,Private+trip to office,48,0,75,sedan,L,direct injection overpowered,diesel,5,B,12,Collective garage
0.233,454,8,Female,Other,CSP1,Professional,60,0,50,sedan,G,injection,regular,5,B,9,None
0.583,463,0,Male,Other,CSP50,Professional,60,0,50,van,N,direct injection overpowered,diesel,1,0,15,None
0.75,98,1,Female,Other,CSP50,Private+trip to office,27,0,70,sedan,L,injection,regular,8,B,1,None
0.321,196,8,Male,Other,CSP50,Private+trip to office,38,0,58,sedan,F,injection,regular,5,B,13,None
0.75,117,5,Female,Other,CSP50,Private+trip to office,30,0,62,sedan,G,injection,regular,6,B,14,None
0.363,524,0,Male,Other,OTHER,Professional run,61,0,50,sedan,J,injection,regular,5,M1,10,None
0.916,568,4,Male,Other,CSP1,Professional,65,0,58,sedan,I,injection,regular,6,B,16,None
0.438,210,4,Female,Other,CSP50,Private+trip to office,42,0,60,sedan,E,injection,regular,3,B,2,None
0.583,387,8,Female,Other,CSP50,Private+trip to office,51,0,50,sedan,F,injection,regular,3,B,16,None
0.767,407,0,Male,Other,CSP50,Private,55,0,50,station wagon,K,direct injection overpowered,diesel,3,0,18,None
0.665,500,6,Male,Other,CSP49,Professional,61,0,50,van,G,injection,diesel,1,M1,11,None
0.743,477,0,Male,Other,CSP66,Professional,58,0,50,bus,L,direct injection overpowered,diesel,6,M1,7,Collective garage
0.68,277,1,Male,Other,CSP55,Private+trip to office,42,0,50,station wagon,L,injection,regular,6,M2,8,Collective garage
0.833,422,2,Male,Other,CSP50,Professional,53,0,50,sedan,D,injection,regular,3,A,17,None
0.753,278,0,Male,Other,CSP50,Private+trip to office,41,0,50,sport utility vehicle,S,direct injection overpowered,diesel,8,H,3,Collective garage
0.166,177,1,Female,Other,CSP50,Private,36,1,80,sedan,P,injection,regular,9,M1,16,Collective garage
0.379,179,5,Male,Other,CSP55,Private+trip to office,33,0,50,other microvan,K,injection,regular,4,M1,12,None
0.5,507,1,Male,Other,CSP60,Private,71,0,50,sedan,H,injection,regular,4,B,19,None
0.833,559,0,Male,Other,CSP50,Professional,71,0,95,sedan,L,injection,regular,8,M2,9,Private garage
0.532,447,11,Female,Other,CSP55,Private+trip to office,55,1,54,sedan,G,injection,regular,5,B,17,None
0.166,522,2,Female,Other,CSP55,Private+trip to office,63,0,74,sedan,J,injection,regular,6,M1,9,None
0.916,291,0,Female,Alone,CSP37,Private,43,0,50,microvan,L,injection,regular,6,M1,11,None
0.327,6,6,Female,Other,CSP50,Private+trip to office,23,0,100,sedan,E,injection,regular,2,A,11,None
0.416,118,1,Female,Alone,CSP50,Private+trip to office,27,0,95,sedan,H,injection,regular,5,B,15,None
0.4,460,11,Male,Other,CSP50,Private,57,0,50,sedan,H,carburation,regular,5,M2,18,None
0.833,215,1,Male,Other,CSP66,Professional,36,0,50,sedan,N,injection,regular,9,M2,9,None
0.939,195,0,Male,Other,CSP50,Private+trip to office,34,0,68,station wagon,N,direct injection overpowered,diesel,7,M2,14,None
0.416,134,4,Male,Other,CSP50,Private+trip to office,29,0,90,sedan,K,injection overpowered,diesel,5,M1,18,None
0.173,287,2,Male,Other,CSP42,Private+trip to office,51,0,50,other microvan,O,direct injection overpowered,diesel,5,H,3,None
0.583,529,2,Male,Other,CSP42,Professional run,63,0,53,sedan,K,injection,regular,7,B,7,Collective garage
0.85,267,3,Male,Other,CSP50,Private,40,0,50,sport utility vehicle,K,injection,regular,4,H,10,None
0.916,412,2,Female,Other,CSP50,Private+trip to office,54,0,80,sedan,H,injection,regular,5,B,15,None
0.382,522,6,Female,Other,CSP50,Private+trip to office,62,0,50,sedan,F,injection,regular,5,B,16,None
0.833,73,3,Male,Alone,CSP26,Private+trip to office,24,0,100,van,H,injection,diesel,2,M1,15,None
0.666,135,4,Male,Alone,CSP50,Private+trip to office,29,0,80,sedan,K,injection,regular,5,B,20,Collective garage
0.571,67,0,Female,Other,CSP26,Private+trip to office,23,0,85,sedan,J,injection,regular,8,B,6,None
0.5,425,8,Male,Other,CSP1,Professional,53,0,50,sedan,J,injection,regular,7,M1,17,Private garage
0.277,476,1,Male,Other,CSP50,Professional,68,0,56,sedan,O,injection,regular,9,M2,16,Collective garage
0.258,388,1,Female,Alone,CSP50,Private+trip to office,54,0,54,sedan,I,injection,regular,7,B,20,Private garage
0.323,81,5,Male,Alone,CSP50,Private+trip to office,24,0,85,sedan,G,injection,regular,5,M1,8,None
0.777,258,2,Male,Other,CSP50,Professional,40,0,62,sport utility vehicle,Q,direct injection overpowered,diesel,6,H,9,Private garage
0.394,150,0,Female,Alone,CSP50,Private+trip to office,32,0,66,sedan,K,injection,regular,6,B,16,Collective garage
0.75,489,0,Male,Other,CSP55,Private+trip to office,60,0,50,sedan,I,injection,regular,3,B,8,None
0.519,7,8,Male,Alone,CSP26,Private+trip to office,19,0,100,sedan,G,injection,regular,4,M1,18,None
0.166,484,0,Male,Other,CSP60,Private,58,0,50,sport utility vehicle,R,direct injection overpowered,diesel,9,H,16,Private garage
0.478,3,1,Female,Other,CSP50,Private,37,0,100,sedan,D,injection,regular,3,B,20,None
0.214,188,6,Female,Other,CSP55,Private+trip to office,34,0,63,microvan,J,injection,regular,4,M1,15,Private garage
0.666,147,6,Male,Other,CSP46,Professional,43,0,61,van,J,injection overpowered,diesel,3,0,12,None
0.523,214,1,Male,Other,CSP50,Professional,48,0,50,van,F,injection,diesel,1,0,18,None
0.416,327,5,Male,Other,CSP42,Private+trip to office,46,0,80,cabriolet,O,injection,regular,7,H,5,Private garage
0.75,134,0,Male,Other,CSP66,Professional,29,0,76,other microvan,M,direct injection overpowered,diesel,7,M1,8,None
0.45,532,3,Male,Other,CSP50,Private,62,1,50,cabriolet,E,injection overpowered,regular,1,A,17,None
0.552,556,11,Male,Other,CSP60,Private,67,1,50,sedan,Q,injection,regular,8,H,5,Collective garage
0.702,216,2,Female,Alone,CSP50,Private+trip to office,36,1,50,sedan,H,direct injection overpowered,diesel,4,B,15,None
0.749,378,5,Female,Other,CSP50,Professional,50,0,50,sedan,G,injection,regular,4,B,16,Collective garage
0.258,15,4,Female,Alone,CSP37,Private,41,0,100,sedan,I,injection,regular,4,B,17,None
0.746,140,5,Male,Alone,OTHER,Private+trip to office,32,0,68,sedan,H,injection,regular,6,M1,20,None
0.25,383,0,Male,Other,CSP46,Professional,55,0,50,station wagon,J,direct injection overpowered,diesel,5,M1,9,None
0.166,355,5,Male,Other,CSP42,Professional run,47,0,61,van,J,injection,diesel,1,0,18,None
0.416,442,2,Male,Other,CSP50,Private,56,0,95,sedan,K,direct injection overpowered,diesel,5,M2,16,Collective garage
0.416,364,0,Female,Alone,CSP50,Private+trip to office,50,0,50,sedan,L,direct injection overpowered,diesel,5,B,12,None
1.0,264,6,Male,Alone,CSP55,Private+trip to office,40,0,50,microvan,M,injection,regular,5,H,13,Private garage
0.499,250,6,Female,Other,CSP50,Private+trip to office,39,0,57,sedan,L,injection overpowered,diesel,6,M2,12,None
0.833,505,3,Female,Other,CSP50,Private,62,1,50,station wagon,F,injection,regular,4,B,15,None
0.689,157,4,Female,Other,CSP50,Private+trip to office,35,0,80,sedan,E,injection,regular,3,B,19,None
1.0,60,0,Male,Other,CSP50,Professional,46,0,106,sedan,J,direct injection overpowered,diesel,5,M1,13,None
0.249,63,3,Female,Alone,CSP50,Private+trip to office,27,0,80,sedan,G,injection,regular,6,B,13,None
0.692,561,5,Male,Other,CSP60,Private,74,0,68,sedan,L,injection,regular,5,B,17,None
0.349,134,3,Male,Alone,CSP50,Private,31,0,85,sedan,K,injection,regular,7,M1,18,Collective garage
0.305,78,2,Female,Alone,CSP50,Private+trip to office,25,0,100,sedan,I,direct injection overpowered,diesel,5,B,16,None
0.416,94,4,Male,Alone,CSP50,Professional,26,0,72,sedan,E,injection,diesel,3,B,10,None
0.583,490,4,Female,Alone,CSP50,Private,66,0,50,sedan,E,injection,regular,2,A,13,None
0.749,591,5,Female,Other,CSP66,Professional,68,0,50,sedan,E,injection,regular,3,B,16,None
0.706,272,8,Male,Other,CSP50,Private+trip to office,42,0,51,microvan,M,injection overpowered,regular,7,H,18,None
0.729,123,2,Male,Alone,CSP55,Private+trip to office,34,0,64,sport utility vehicle,O,direct injection overpowered,diesel,8,M1,9,None
1.0,522,2,Male,Other,CSP60,Private,72,0,50,sedan,I,direct injection overpowered,diesel,4,M1,15,Private garage
0.833,83,4,Male,Other,CSP55,Private,29,0,100,sedan,G,injection,diesel,4,B,9,None
0.916,130,0,Male,Alone,CSP50,Private+trip to office,28,0,90,coupe,C,injection overpowered,regular,1,A,8,None
0.282,213,6,Male,Other,CSP50,Private+trip to office,36,0,52,sedan,G,injection overpowered,diesel,4,B,17,None
0.5,583,8,Male,Other,CSP60,Private,76,0,55,sedan,I,injection,regular,5,M1,8,None
0.494,529,0,Male,Other,CSP60,Private,64,0,55,sedan,N,injection,regular,9,H,5,None
0.858,428,11,Male,Other,CSP1,Professional,54,0,50,sedan,K,injection,regular,7,H,13,None
0.117,298,0,Male,Other,CSP1,Private+trip to office,42,0,70,sport utility vehicle,R,direct injection overpowered,diesel,6,H,8,Private garage
0.333,394,4,Male,Alone,CSP50,Private+trip to office,51,0,50,sedan,G,injection,regular,5,B,4,None
0.333,74,1,Male,Alone,CSP26,Private+trip to office,25,0,90,sedan,E,injection,regular,4,A,1,None
0.749,42,0,Male,Alone,CSP1,Professional,22,0,100,coupe,F,injection overpowered,regular,1,A,16,None
0.363,91,0,Male,Alone,CSP42,Private,25,0,100,sedan,K,injection,regular,8,B,7,None
0.274,460,3,Male,Other,CSP60,Private,73,0,58,sedan,D,injection,regular,4,B,13,None
0.561,408,5,Female,Alone,CSP50,Private+trip to office,55,0,100,sedan,E,injection,regular,3,A,20,None
0.528,492,1,Female,Other,CSP1,Professional,66,0,50,sedan,G,injection,regular,4,A,8,None
0.552,330,5,Male,Other,CSP55,Private,54,0,50,sedan,J,injection,regular,6,M2,10,Private garage
0.439,120,3,Male,Other,CSP1,Professional,31,0,60,sedan,K,injection,regular,6,M1,7,None
0.75,314,4,Female,Alone,CSP50,Private+trip to office,45,0,67,other microvan,L,injection,regular,5,M2,16,None
0.333,576,0,Male,Other,CSP60,Private,68,0,52,sedan,M,direct injection overpowered,diesel,7,M2,12,None
0.083,691,2,Male,Other,CSP66,Professional,77,0,50,sedan,J,injection,regular,7,M1,16,Collective garage
0.749,165,6,Male,Alone,CSP48,Professional,32,0,67,van,I,injection,regular,2,0,17,Collective garage
